DATE,AWND,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08
1/1/17,5.59,,0,0,0,,48,40,,260,310,15,23,,,,,,,1
1/2/17,9.17,,0.21,0,0,,41,37,,70,70,17,25.1,1,,,1,,,
1/3/17,10.74,,0.58,0,0,,43,39,,70,60,21,30,1,,,,,,
1/4/17,8.05,,0,0,0,,52,34,,280,290,23.9,36,1,,,,,,1
1/5/17,7.83,,0,0,0,,34,27,,250,290,17,27.1,,,,,,,
1/6/17,4.7,,0.05,1.2,1.2,,33,25,,360,20,10.1,16.1,1,,,,,,1
1/7/17,7.61,,0.32,5.1,0,,26,20,,350,330,17,25.1,1,1,,,,,1
1/8/17,8.72,,0,0,3.9,,25,16,,290,280,18.1,30,,,,,,,
1/9/17,5.14,,0,0,3.1,,23,14,,250,250,13,21.9,,,,,,,
1/10/17,4.7,,0,0,3.1,,46,21,,180,170,14.1,23.9,,,,,,,
1/11/17,5.82,,0.52,0,0,,52,42,,250,240,16.1,33.1,1,,,,,,
1/12/17,7.61,,0.05,0,0,,66,47,,250,250,16.1,23.9,1,,,,,,
1/13/17,7.16,,0,0,0,,62,32,,300,300,17,28,,,,,,,
1/14/17,4.25,,0.12,0.6,0,,34,28,,280,60,8.9,12.1,1,1,,,,,
1/15/17,4.25,,0,0,1.2,,38,30,,310,300,10.1,15,,,,,,,
1/16/17,4.7,,0,0,0,,43,30,,250,250,13,19,,,,,,,
1/17/17,4.92,,0.35,0,0,,42,38,,70,70,15,19.9,1,,,,,,1
1/18/17,5.82,,0.06,0,0,,41,38,,60,60,14.1,19,1,,,,,,
1/19/17,3.58,,0,0,0,,49,39,,320,310,12.1,19,,,,,,,
1/20/17,4.03,,0.1,0,0,,45,40,,60,110,10.1,14.1,1,,,,,,
1/21/17,3.8,,0,0,0,,49,41,,270,270,12.1,18.1,1,,,,,,1
1/22/17,6.71,,0.05,0,0,,48,43,,60,50,21,33.1,1,1,,,,,1
1/23/17,18.34,,1.16,0,0,,44,36,,70,40,33.1,47,1,,,,,,
1/24/17,10.07,,1.18,0,0,,38,35,,50,50,23.9,36,1,,,,,,
1/25/17,6.71,,0,0,0,,51,36,,310,280,18.1,25.9,,,,,,,
1/26/17,6.71,,0.02,0,0,,56,43,,290,270,21,38,,,,,,,
1/27/17,8.95,,0,0,0,,43,36,,290,260,18.1,33.1,,,,,,,
1/28/17,7.83,,0,0,0,,39,34,,270,260,16.1,27.1,,,,,,,
1/29/17,5.82,,0,0,0,,43,35,,260,260,15,23.9,,,,,,,
1/30/17,6.26,,0,0,0,,37,30,,310,330,15,21.9,,,,,,,
1/31/17,4.03,,0.06,1,0,,34,26,,80,80,12.1,15,1,1,,,,,1
2/1/17,5.82,,0,0,0,,47,33,,260,250,16.1,25.9,,,,,,,
2/2/17,5.37,,0,0,0,,45,32,,280,300,16.1,28,,,,,,,
2/3/17,6.71,,0,0,0,,33,26,,310,310,17,29.1,,,,,,,
2/4/17,8.5,,0,0,0,,34,22,,310,310,16.1,25.9,,,,,,,
2/5/17,7.16,,0,0,0,,43,31,,230,240,16.1,28,,,,,,,
2/6/17,5.14,,0,0,0,,49,36,,170,270,13,19.9,,,,,,,
2/7/17,6.71,,0.27,0,0,,42,36,,60,70,15,21,1,,,,,,1
2/8/17,4.7,,0.03,0,0,,62,38,,360,30,13,17,1,,,,,,1
2/9/17,12.3,,1.16,9.4,2,,44,19,,310,320,23,36.9,1,1,,,,,1
2/10/17,8.5,,0,0,7.9,,32,19,,280,260,16.1,31.1,,,,,,,1
2/11/17,4.03,,0,0,5.1,,48,30,,240,240,13,19.9,,,,,,,
2/12/17,7.16,,0.46,0,2,,40,30,,70,60,17,23,1,,,,,1,
2/13/17,12.3,,0.02,0,2,,39,31,,310,310,28,48.1,1,,,,,,
2/14/17,5.37,,0,0,2,,41,28,,250,310,13,19.9,,,,,,,
2/15/17,6.49,,0,0,0,,47,35,,280,280,18.1,29.1,,,,,,,
2/16/17,10.51,,0,0,0,,35,28,,310,310,17,29.1,,,,,,,
2/17/17,8.5,,0,0,0,,41,26,,290,290,16.1,28,,,,,,,
2/18/17,5.82,,0,0,0,,63,35,,250,240,16.1,28,,,,,,,
2/19/17,5.59,,0,0,0,,65,53,,270,330,14.1,21.9,,,,,,,
2/20/17,7.38,,0,0,0,,55,39,,60,40,18.1,25.1,,,,,,,
2/21/17,5.82,,0,0,0,,47,34,,170,240,14.1,21.9,,,,,,,
2/22/17,2.91,,0,0,0,,57,42,,240,210,12.1,17,,,,,,,
2/23/17,3.58,,0,0,0,,65,44,,240,240,13,19.9,1,,,,,,1
2/24/17,6.04,,0,0,0,,70,58,,150,170,14.1,21,,,,,,,
2/25/17,6.71,,0.54,0,0,,63,44,,190,200,19.9,28,1,,,,,,
2/26/17,8.95,,0,0,0,,44,36,,310,300,18.1,29.1,,,,,,,
2/27/17,5.59,,0,0,0,,54,35,,250,250,16.1,25.9,,,,,,,
2/28/17,4.03,,0,0,0,,59,47,,160,160,10.1,19,,,,,,,
3/1/17,6.04,,0.12,0,0,,70,54,,250,260,16.1,31.1,1,,,,,,1
3/2/17,11.41,,0,0,0,,64,35,,270,290,25.9,47,,,,,,,
3/3/17,8.28,,0,0,0,,39,24,,310,300,18.1,35.1,,,,,,,
3/4/17,8.95,,0,0,0,,30,17,,310,260,19.9,34,,,,,,,
3/5/17,5.37,,0,0,0,,37,14,,350,300,14.1,23,,,,,,,
3/6/17,3.36,,0,0,0,,45,26,,180,180,10.1,16.1,,,,,,,
3/7/17,4.25,,0.1,0,0,,56,42,,160,160,13,19.9,1,,,,,,
3/8/17,7.61,,0.02,0,0,,59,47,,250,270,17,31.1,1,,,,,,
3/9/17,8.72,,0,0,0,,61,47,,280,270,23,38.9,,,,,,,
3/10/17,7.61,,0.31,2.1,0,,47,23,,310,290,19.9,33.1,1,1,,,,,
3/11/17,9.62,,0,0,1.2,,29,17,,290,330,18.1,32,,,,,,,
3/12/17,8.95,,0,0,0,,29,19,,280,300,17,25.1,,,,,,,
3/13/17,4.47,,0,0,0,,36,20,,170,180,14.1,21.9,,,,,,,
3/14/17,13.42,,1.97,7.6,3.9,,32,21,,60,40,28,38,1,1,,,,,1
3/15/17,11.63,,0,0,5.9,,26,20,,280,290,21,36,,,,,,,1
3/16/17,7.83,,0,0,5.1,,39,24,,290,280,19.9,34,,,,,,,
3/17/17,6.49,,0,0,3.9,,47,29,,280,290,15,21.9,,,,,,,
3/18/17,8.72,,0.08,0,3.1,,39,34,,70,60,19.9,27.1,1,,,,,,1
3/19/17,8.28,,0,0,3.1,,47,34,,60,70,18.1,29.1,,,,,,,
3/20/17,5.14,,0,0,0,,52,33,,40,40,14.1,21.9,,,,,,,
3/21/17,4.03,,0,0,0,,59,42,,270,270,13,18.1,,,,,,,
3/22/17,11.41,,0,0,0,,50,24,,310,310,23.9,42.1,,,,,,,
3/23/17,4.92,,0,0,0,,42,23,,310,310,13,17,,,,,,,
3/24/17,6.26,,0,0,0,,57,36,,250,240,15,23,,,,,,,
3/25/17,6.71,,0.01,0,0,,62,42,,30,260,16.1,23.9,1,,,,,,
3/26/17,8.28,,0.14,0,0,,42,37,,70,70,18.1,23.9,1,,,,,,
3/27/17,4.25,,0.26,0,0,,53,37,,60,50,12.1,17,1,,,,,,1
3/28/17,5.82,,0.72,0,0,,46,41,,70,60,14.1,21,1,,,,,,
3/29/17,7.83,,0,0,0,,60,42,,30,40,18.1,27.1,1,,,,,,
3/30/17,5.82,,0.01,0,0,,52,38,,60,60,15,19.9,,,,,,,
3/31/17,10.29,,1.51,0,0,,43,37,,70,60,25.9,40.9,1,,,,,,
4/1/17,7.61,,0,0,0,,48,37,,70,60,25.9,38.9,1,,,,,,
4/2/17,5.37,,0,0,0,,63,40,,290,310,14.1,23.9,,,,,,,
4/3/17,4.92,,0.03,0,0,,63,48,,170,180,18.1,23.9,,,,,,,
4/4/17,6.93,,1.18,0,0,,51,45,,80,90,18.1,25.1,1,,,,,,
4/5/17,3.36,,0,0,0,,65,45,,120,170,14.1,25.1,1,,,,,,1
4/6/17,9.17,,0.73,0,0,,53,40,,60,70,21.9,30,1,,,,,,
4/7/17,10.51,,0,0,0,,51,40,,290,290,17,30,,,,,,,
4/8/17,8.28,,0,0,0,,57,40,,310,300,17,28,,,,,,,
4/9/17,4.92,,0,0,0,,67,45,,240,240,13,23,,,,,,,
4/10/17,6.04,,0,0,0,,74,53,,160,230,13,19.9,,,,,,,
4/11/17,5.59,,0,0,0,,80,61,,260,240,14.1,23,,,,,,,
4/12/17,2.91,,0.02,0,0,,76,58,,40,300,10.1,21,,,,,,,
4/13/17,5.14,,0,0,0,,65,48,,350,310,14.1,23,,,,,,,
